KPI,Fuente,Año,Valor,Unidad,Nota_Fiabilidad,Cita_Literal
Volumen_Total,Mercasa,2024,3.49,Millones L,Alta,"Consumo TOTAL (Millones litros) RON: 3,49"
Valor_Total,Mercasa,2024,159.72,Millones EUR,Alta,"VALOR TOTAL (Millones euros) RON: 159,72"
Gasto_Per_Capita,Mercasa,2024,4.50,EUR,Alta,"GASTO PER CÁPITA (Euros) RON: 4,50"
Penetracion_Poblacion,Mercasa,2024,9.58,%,Alta,"PENETRACIÓN (% Población 15-75 años) RON: 9,58"
Consumo_Hombre_Desviacion,Mercasa,2024,9.9,%,Alta,"HOMBRE: 9,9 (Desviación respecto a la media)"
Consumo_Mujer_Desviacion,Mercasa,2024,-9.8,%,Alta,"MUJER: -9,8 (Desviación respecto a la media)"
Consumo_60_75_Años_Desviacion,Mercasa,2024,70.5,%,Alta,"DE 60 A 75 AÑOS: 70,5 (Desviación respecto a la media)"
Cuota_On_Trade,Euromonitor,2024,60,%,Media-Alta,"on-trade sigue siendo el canal principal (6 de cada 10 consumiciones)"
Cuota_Off_Trade,Euromonitor,2024,40,%,Media-Alta,"on-trade sigue siendo el canal principal (6 de cada 10 consumiciones)"
CAGR_2023_2030,Grand View Research,2023-2030,6.7,%,Media-Alta,"A compound annual growth rate of 6.7% is expected of Spain rum market from 2023 to 2030"
Cuota_Mercado_Global,Grand View Research,2022,2.3,%,Media-Alta,"Spain accounted for 2.3% of the global rum market in 2022"
Top_1_Marca_Atencion_Digital,Epsilon,2024,N/A,Ranking,Media-Alta,"Ron Barceló se sitúa entre las 5 marcas con mayor cuota de atención digital"
Inversion_Publicitaria_Total_Espirituosos,InfoAdex,2024,N/A,EUR,Media-Alta,"InfoAdex ha sido el fiel cronista de la inversión publicitaria en España"
